  PID COMM
    1 /sbin/launchd
  678 /usr/sbin/syslogd
  679 /usr/libexec/UserEventAgent
  682 /System/Library/PrivateFrameworks/Uninstall.framework/Resources/uninstalld
  683 /usr/libexec/kextd
  684 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/FSEvents.framework/Versions/A/Support/fseventsd
  685 /System/Library/PrivateFrameworks/MediaRemote.framework/Support/mediaremoted
  689 /usr/sbin/systemstats
  690 /usr/libexec/configd
  691 endpointsecurityd
  692 /System/Library/CoreServices/powerd.bundle/powerd
  696 /usr/libexec/logd
  697 /usr/libexec/keybagd
  699 /usr/libexec/snmpd
  701 /usr/libexec/watchdogd
  705 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Support/mds
  707 /System/Library/CoreServices/iconservicesd
  708 /usr/libexec/diskarbitrationd
  712 /usr/libexec/coreduetd
  719 /usr/libexec/opendirectoryd
  722 /System/Library/CoreServices/launchservicesd
  723 /usr/libexec/timed
  724 /Library/Scripts/42/crc/crc
  725 /Library/Scripts/42/crc/osqueryd
  726 /System/Library/PrivateFrameworks/MobileDevice.framework/Versions/A/Resources/usbmuxd
  727 /usr/sbin/securityd
  728 auditd
  730 /usr/libexec/locationd
  733 autofsd
  734 /usr/libexec/displaypolicyd
  737 /usr/libexec/dasd
  741 /bin/bash
  742 /System/Library/CoreServices/logind
  743 /System/Library/PrivateFrameworks/GenerationalStorage.framework/Versions/A/Support/revisiond
  744 /usr/sbin/KernelEventAgent
  746 /usr/sbin/bluetoothd
  747 /usr/libexec/hidd
  748 /usr/libexec/sandboxd
  749 /usr/libexec/corebrightnessd
  750 /usr/libexec/AirPlayXPCHelper
  751 /usr/sbin/notifyd
  753 /usr/sbin/distnoted
  758 /usr/libexec/taskgated
  761 /usr/libexec/amfid
  762 /usr/libexec/syspolicyd
  763 /usr/sbin/cfprefsd
  766 /System/Library/CoreServices/coreservicesd
  767 /System/Library/PrivateFrameworks/TCC.framework/Resources/tccd
  768 aslmanager
  770 /System/Library/CoreServices/loginwindow.app/Contents/MacOS/loginwindow
  794 /System/Library/PrivateFrameworks/CoreAnalytics.framework/Support/analyticsd
  795 /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/authd.xpc/Contents/MacOS/authd
  965 /usr/sbin/mDNSResponder
  975 /System/Library/PrivateFrameworks/CoreDuetContext.framework/Resources/contextstored
  983 /usr/libexec/nehelper
  986 /usr/libexec/trustd
  989 /usr/sbin/mDNSResponderHelper
  990 /usr/sbin/coreaudiod
 1016 /usr/libexec/searchpartyd
 1031 /usr/libexec/mobileassetd
 1046 /System/Library/Frameworks/CoreAudio.framework/Versions/A/XPCServices/com.apple.audio.DriverHelper.xpc/Contents/MacOS/com.apple.audio.DriverHelper
 1098 /usr/libexec/symptomsd
 1160 /System/Library/PrivateFrameworks/SkyLight.framework/Resources/WindowServer
 1326 /System/Library/PrivateFrameworks/WirelessDiagnostics.framework/Support/awdd
 1442 /System/Library/PrivateFrameworks/GeoServices.framework/Versions/A/XPCServices/com.apple.geod.xpc/Contents/MacOS/com.apple.geod
 1472 /usr/libexec/secinitd
 1482 /usr/sbin/cfprefsd
 1483 /usr/libexec/nsurlsessiond
 1484 /usr/libexec/multiversed
 1485 /System/Library/CryptoTokenKit/com.apple.ifdreader.slotd/Contents/MacOS/com.apple.ifdreader
 1486 /usr/libexec/trustd
 1487 /usr/libexec/apfsd
 1488 /usr/libexec/airportd
 1489 /usr/libexec/usbd
 1490 /usr/libexec/firmwarecheckers/ethcheck/ethcheck
 1491 /System/Library/Frameworks/CoreMediaIO.framework/Resources/VDC.plugin/Contents/Resources/VDCAssistant
 1492 /System/Library/PrivateFrameworks/BridgeOSSoftwareUpdate.framework/Support/bosUpdateProxy
 1494 /System/Library/CoreServices/ReportCrash
 1499 /Library/Apple/System/Library/CoreServices/XProtect.app/Contents/XPCServices/XProtectPluginService.xpc/Contents/MacOS/XProtectPluginService
 1502 /System/Library/CoreServices/backupd.bundle/Contents/Resources/backupd-helper
 1504 /usr/libexec/lsd
 1505 /Library/Scripts/42/crc/osqueryd
 1516 /System/Library/Frameworks/AudioToolbox.framework/AudioComponentRegistrar
 1518 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
 1519 /usr/libexec/diskmanagementd
 1523 /Library/Frameworks/Python.framework/Versions/3.9/Resources/Python.app/Contents/MacOS/Python
 1526 /System/Library/PrivateFrameworks/AssetCacheServices.framework/Versions/A/XPCServices/AssetCacheLocatorService.xpc/Contents/MacOS/AssetCacheLocatorService
 1528 /usr/libexec/AssetCache/AssetCache
 1556 /System/Library/PrivateFrameworks/AssetCacheServicesExtensions.framework/XPCServices/AssetCacheTetheratorService.xpc/Contents/MacOS/AssetCacheTetheratorService
 1641 /System/Library/DriverExtensions/AppleUserHIDDrivers.dext/AppleUserHIDDrivers
 1643 /System/Library/DriverExtensions/AppleUserHIDDrivers.dext/AppleUserHIDDrivers
 1657 /System/Library/DriverExtensions/AppleUserHIDDrivers.dext/AppleUserHIDDrivers
 1663 /System/Library/DriverExtensions/AppleUserHIDDrivers.dext/AppleUserHIDDrivers
 1666 /System/Library/DriverExtensions/AppleUserHIDDrivers.dext/AppleUserHIDDrivers
 1878 /System/Library/DriverExtensions/AppleUserHIDDrivers.dext/AppleUserHIDDrivers
 1885 /System/Library/DriverExtensions/AppleUserHIDDrivers.dext/AppleUserHIDDrivers
 1886 /System/Library/DriverExtensions/AppleUserHIDDrivers.dext/AppleUserHIDDrivers
 1936 /usr/libexec/thermald
 2140 /usr/libexec/runningboardd
 2174 /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/com.apple.CodeSigningHelper.xpc/Contents/MacOS/com.apple.CodeSigningHelper
 2182 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mds_stores
 2519 /usr/libexec/nsurlstoraged
 2829 /usr/libexec/secinitd
 3040 /usr/sbin/netbiosd
 3103 /usr/libexec/colorsync.displayservices
 3106 /usr/libexec/colorsyncd
 3114 /System/Library/Frameworks/OpenGL.framework/Versions/A/Libraries/CVMServer
 3116 /System/Library/Frameworks/ApplicationServices.framework/Frameworks/ATS.framework/Support/fontd
 3166 /System/Library/CoreServices/appleeventsd
 3168 /usr/libexec/sysmond
 3187 /usr/sbin/systemstats
 3188 /usr/libexec/bootinstalld
 3198 /System/Library/PrivateFrameworks/ViewBridge.framework/Versions/A/XPCServices/ViewBridgeAuxiliary.xpc/Contents/MacOS/ViewBridgeAuxiliary
 3199 /System/Library/Frameworks/CoreMediaIO.framework/Versions/A/XPCServices/com.apple.cmio.registerassistantservice.xpc/Contents/MacOS/com.apple.cmio.registerassistantservice
 3209 /usr/sbin/distnoted
 3423 /System/Library/Frameworks/CryptoTokenKit.framework/ctkahp.bundle/Contents/MacOS/ctkahp
 3425 /System/Library/Frameworks/LocalAuthentication.framework/Support/coreauthd
